scope;key;field;eng;cat;spa;revisat
DialogMultiCreateSTAINaturalist;idByOtherUsers;label;Identification by other users (comments);Identificaci¢ per part d'altres usuaris (comentaris);Identificaci¢n por parte de otros usuarios (comentarios);s
DialogSelectResource;identifier;label;Identifier of resource to select:;Identificador del recurs a seleccionar:;Identificador del recurso a seleccionar:;s
DialogColumnsCalculator;if;button;If;Si;Si;s
DialogScatterPlot;strangeBehavior;text;If your graph presents a strange behavior, try sorting the data by the column used on the X axis.;Si el vostre grÖfic presenta un comportament estrany, proveu d'ordenar les dades per la columna utilitzada a l'eix X.;Si su gr†fico presenta un comportamiento extra§o, intente ordenar los datos por la columna utilizada en el eje X.;s
DialogImageViewer;imageSize;label;Image size (px):;Mida de la imatge (px):;Tama§o de la imagen (px):;s
DialogImageViewer;imageSources;title;Image Sources:;Fonts d'imatge:;Fuentes de imagen:;s
DialogImageViewer;imageUrl;label;Image URL:;URL de la imatge:;URL de la imagen:;s
tableStatisticsVisualize;ImageViewer;description;Image Viewer;Visor d'imatges;Visor de im†genes;si
DialogImportCSV;title;title;Import CSV file table;Importa una taula de fitxer CSV;Importar tabla de archivo CSV;s
DialogImportDBF;title;title;Import dBASE III+, IV and MiraMon DBF Extended;Importa dBASE III+, IV i MiraMon DBF ampliat;Importar dBASE III+, IV y MiraMon DBF extendido;s
DialogImportGeoJSON;title;title;Import GeoJSON;Importa GeoJSON;Importar GeoJSON;s
DialogImportGPKG;title;title;Import Geopackage;Importa Geopackage;Importar Geopackage;s
DialogImportJSON;title;title;Import JSON;Importa JSON;Importar JSON;s
DialogImportJSONLD;title;title;Import JSON-LD;Importa JSON-LD;Importar JSON-LD;s
DialogImportCSV;importNumbersAsStrings;label;Import numbers as strings;Importa els n£meros com a text;Importar los n£meros como texto;s
DialogQualityMisclassificationMatrix;metricsNote;text;In addition to the Misclassification Matrix , the following accuracy metrics will be calculated:;A mÇs a mÇs de la matriu de classificaci¢ errïnia, es calcularan les mätriques d'exactitud segÅents:;Adem†s de la matriz de clasificaci¢n err¢nea, se calcular†n las siguientes mÇtricas de exactitud:;s
DialogReplaceTextInTable;inAllTable;label;In all table;A tota la taula;En toda la tabla;s
DialogReplaceTextInTable;inOneColumn;label;In one column;En una columna;En una columna;s
DialogImportJSONLD;include;title;Include;Inclou;Incluir;s
alert;incompatibleNode;text;Incompatible node. {0}. It has not been added.;Node incompatible. {0}. No s'ha afegit.;Nodo incompatible. {0}. No se ha a§adido.;si
DialogAddColumnPnt;input;title;Input;Entrada;Entrada;s
DialogAddColumnBBox;input;title;Input;Entrada;Entrada;s
chrome;insert;button;Insert;Insereix;Insertar;s
DialogFormatConsistency;intervalFrom;label;Interval from;Interval des de;Intervalo desde;s
DialogQualityTemporalQuality;intervalMethod;text;Interval method:;Mätode d'interval:;MÇtodo de intervalo:;s
DialogFormatConsistency;intervalTo;label;Interval to;Interval fins a;Intervalo hasta;s
alert;invalidUnitAssumeSeconds;text;Invalid unit. Assumint seconds;Unitat no vÖlida. S'assumiran segons;Unidad no v†lida. Se asumir†n segundos;si
DialogFormatConsistency;isoPattern;label;ISO 8601 pattern:;Patr¢ ISO 8601:;Patr¢n ISO 8601:;s
alert;assignNameNewColumn;text;It is necessary to assign a name to the new column;Cal assignar un nom a la columna nova;Es necesario asignar un nombre a la columna nueva;si
alert;linkOneNodeWithDataProperty;text;It is necessary to link one node with a data property;Cal enllaáar un node amb una propietat de dades;Es necesario enlazar un nodo con una propiedad de datos;si
alert;linkOnlyOneStaNode;text;It is necessary to link only one node with data from STA source;Cal enllaáar nomÇs un node amb dades d'una font STA;Es necesario enlazar £nicamente un nodo con datos de una fuente STA;si
alert;selectAData;text;It is necessary to select a Data;Cal seleccionar una dada;Es necesario seleccionar un dato;si
DialogRadarPlot;itemColumn;label;Item column:;Columna d'element):;Columna de elemento:;s
TableOperations;JoinTables;description;Join Tables;Uni¢ de taules;Unir tablas;si
clarification;jsonLoaded;text;JSON has been loaded.;S'ha carregat el JSON.;Se ha cargado el JSON.;s
clarification;jsonMessageParseError;text;JSON message parse error: {0} The file content is:\n{1};Error d'anÖlisi del missatge JSON: {0} El contingut del fitxer Çs:\n{1};Error de an†lisis del mensaje JSON: {0} El contenido del archivo es:\n{1};si
clarification;jsonMessageParseErrorResponse;text;JSON message parse error: {0} The response was:\n{1};Error d'anÖlisi del missatge JSON: {0} La resposta ha estat:\n{1};Error de an†lisis del mensaje JSON: {0} La respuesta ha sido:\n{1};si
clarification;jsonParseError;text;JSON parse error: {0}\n File content fragment:\n{1};Error d'anÖlisi del JSON: {0}\n Fragment del contingut del fitxer:\n{1};Error de an†lisis del JSON: {0}\n Fragmento del contenido del archivo:\n{1};s
clarification;jsonNoRecords;text;JSON resulted in no records.;El JSON no ha generat cap registre.;El JSON no ha generado ning£n registro.;s
DialogImportJSON;source;title;JSON source;Font JSON;Fuente JSON;s
clarification;jsonldLoaded;text;JSON-LD has been loaded.;S'ha carregat JSON-LD.;Se ha cargado JSON-LD.;s
clarification;jsonldParseError;text;JSONLD parse error: {0}\n File content fragment:\n{1};Error en l'anÖlisi de JSONLD: {0}\n Fragment del contingut del fitxer:\n{1};Error en el an†lisis de JSONLD: {0}\n Fragmento del contenido del archivo:\n{1};si
clarification;jsonldNoRecords;text;JSON-LD resulted in no records.;JSON-LD no ha generat cap registre.;JSON-LD no ha generado ning£n registro.;si
DialogImportJSONLD;source;title;JSON-LD source;Font JSON-LD;Fuente JSON-LD;s
DialogScatterPlot;label;label;Label:;Etiqueta:;Etiqueta:;s
DialogImageViewer;label;label;Label:;Etiqueta:;Etiqueta:;s
DialogSTAURL;landingPageUrl;label;Landing page URL:;URL de la pÖgina d'inici:;URL de la p†gina de inicio:;s
DialogS3Bucket;landingPageUrl;label;Landing page URL:;URL de la pÖgina d'inici:;URL de la p†gina de inicio:;s
alert;latitudeRequired;text;Latitude parameter is required, please fill in the box before send;El parÖmetre latitude Çs obligatori, ompliu la casella abans d'enviar;El par†metro latitude es obligatorio, rellene la casilla antes de enviar;si
DialogSaveLayer;latitude;label;Latitude:;Latitud:;Latitud:;s
DialogUploadObservations;latitude;label;Latitude:;Latitud:;Latitud:;s
DialogQualityPositionalQuality;latitude;label;Latitude:;Latitud:;Latitud:;s
DialogScatterPlot;leftLabel;label;Left label:;Etiqueta esquerra:;Etiqueta izquierda:;s
DialogFormatConsistency;letter;button;Letter;Lletra;Letra;s
DialogFormatConsistency;letterOrDigitLbl;label;Letter or digit;Lletra o d°git;Letra o d°gito;s
alert;dggsLevelInvalid;text;Level is not a positive number or it is higher than {0}. The level 10 will be used instead.;El nivell no Çs un nombre positiu o Çs superior a {0}. En el seu lloc, s'utilitzarÖ el nivell 10.;El nivel no es un n£mero positivo o es superior a {0}. En su lugar, se utilizar† el nivel 10.;si
DialogDGGSCodesBbox;level;label;Level:;Nivell:;Nivel:;s
DialogUploadIC;license;label;License:;License:;License:;s
STASpecialQueries;ObsLayer;help;Link to STAplus service to add a query to this url to obtain a table with phenomenomTime and results from Observations, unitsOfMeasurements and ObservedProperty from Datastreams and a description from the featureOfInterest related.;Enllaá al servei STAplus per afegir una consulta a aquest URL i obtenir una taula amb phenomenomTime i els resultats de les Observations, les unitsOfMeasurements i l'ObservedProperty dels Datastreams i una descripci¢ del featureOfInterest relacionat.;Enlace al servicio STAplus para a§adir una consulta a esta URL y obtener una tabla con phenomenomTime y los resultados de las Observations, las unitsOfMeasurements y la ObservedProperty de los Datastreams y una descripci¢n del featureOfInterest relacionado.;si
DialogLink;linkTo;text;Link to:;Enllaá a:;Enlace a:;s
DialogCreateNewTable;listColumns;label;List of columns (separed by comas):;Llista de columnes (separades per comes):;Lista de columnas (separadas por comas):;s
DialogCreateColumns;listOfColumns;label;List of columns to add;Llista de columnes a afegir;Lista de columnas a a§adir;s
DialogAggregateColumns;listOfColumns;label;List of columns to add;Llista de columnes a afegir;Lista de columnas a a§adir;s
DialogColumnsCalculator;listOfColumns;label;List of columns to add;Llista de columnes a afegir;Lista de columnas a a§adir;s
DialogQualityThematicQuality;listOfValues;label;List of values;Llista de valors;Lista de valores;s
DialogSeparateColumns;listsInColumns;label;Lists in columns:;Llistes en columnes:;Listas en columnas:;s
chrome;load;button;Load;Carrega;Cargar;s
clarification;loadingStaCount;text;Loading STA count...;S'estÖ carregant el recompte de STA...;Se est† cargando el recuento de STA...;s
DialogImportCSV;localCsvw;label;Local CSVW file:;Fitxer CSVW local:;Archivo CSVW local:;s
DialogImportCSV;localFile;label;Local file:;Fitxer local:;Archivo local:;s
DialogImportGeoJSON;localFile;label;Local file:;Fitxer local:;Archivo local:;s
DialogImportDBF;localFile;label;Local file:;Fitxer local:;Archivo local:;s
DialogImportGPKG;localFile;label;Local file:;Fitxer local:;Archivo local:;s
DialogImportJSONLD;localFile;label;Local file:;Fitxer local:;Archivo local:;s
DialogImportJSON;localFile;label;Local file:;Fitxer local:;Archivo local:;s
DialogImportGeoJSON;localSchema;label;Local GeoJSON schema file:;Fitxer d'esquema GeoJSON local:;Archivo de esquema GeoJSON local:;s
clarification;locationUnavailable;text;Location information is unavailable.;La informaci¢ de la ubicaci¢ no estÖ disponible.;La informaci¢n de la ubicaci¢n no est† disponible.;s
DialogGeospatialFilterRowsByDistance;locationsLocation;label;Locations-location;Locations-location;Locations-location;s
dataQuality;logicalConsistency;description;Logical consistency;Consistäncia lïgica;Consistencia l¢gica;si
DialogQualityLogicalConsistency;title;title;Logical consistency;Consistäncia lïgica;Consistencia l¢gica;s
DialogRadarPlot;longTable;title;Long table:;Taula llarga:;Tabla larga:;s
alert;longitudeRequired;text;Longitude parameter is required, please fill in the box before send;El parÖmetre longitude Çs obligatori, ompliu la casella abans d'enviar;El par†metro longitude es obligatorio, rellene la casilla antes de enviar;si
DialogSaveLayer;longitude;label;Longitude:;Longitud:;Longitud:;s
DialogUploadObservations;longitude;label;Longitude:;Longitud:;Longitud:;s
DialogQualityPositionalQuality;longitude;label;Longitude:;Longitud:;Longitud:;s
DialogUploadIC;manually;title;Manually;Manualment;Manualmente;s
DialogDGGSCodesBbox;maxLat;label;Maximum latitude:;Latitud mÖxima:;Latitud m†xima:;s
DialogDGGSCodesBbox;maxLon;label;Maximum longitude:;Longitud mÖxima:;Longitud m†xima:;s
DialogAddColumnBBox;maxX;label;Maximum X or Longitude:;X o longitud mÖxima:;X o longitud m†xima:;s
DialogAddColumnBBox;maxY;label;Maximum Y or Latitude:;Y o latitud mÖxima:;Y o latitud m†xima:;s
DialogQualityThematicQuality;meanStdDev;label;Mean of the standard deviation (numeric);Mitjana de la desviaci¢ estÖndard (numärica);Media de la desviaci¢n est†ndar (numÇrica);s
DialogQualityPositionalQuality;meanUncertainties;label;Mean of the uncertainties of each position.;Mitjana de les incerteses de cada posici¢.;Media de las incertidumbres de cada posici¢n.;s
DialogQualityTemporalQuality;meanUncertainty;label;Mean of the values in the;Mitjana dels valors de la;Media de los valores de la;s
DialogQualityPositionalQuality;meanRmse;label;Mean of the values in the geometry column (Root Mean Square Error);Mitjana dels valors de la columna de geometria (error quadrÖtic mitjÖ);Media de los valores de la columna de geometr°a (error cuadr†tico medio);s
DialogQualityThematicQuality;meanUncertainty;label;Mean of uncertainty column:;Mitjana de la columna d'incertesa:;Media de la columna de incertidumbre:;s
clarification;meaningFromNimmbus;text;Meaning retrieved from NiMMbus.;S'ha recuperat el significat des de NiMMbus.;Se ha recuperado el significado des de NiMMbus.;si
DialogImportCSV;meaningSource;title;Meaning source;Font del significat;Fuente del significado;s
DialogImportGeoJSON;meaningSource;title;Meaning source;Font del significat;Fuente del significado;s
clarification;mediaTypeNotSupported;text;Media type (a.k.a format) not supported in this itinerary;El tipus de mitjÖ (tambÇ anomenat format) no Çs compatible amb aquest itinerari;El tipo de medio (tambiÇn llamado formato) no es compatible con este itinerario;s
STAOperations;MergeExpandsSTA;description;Merge Expands;Fusiona les expansions;Fusiona las expansiones;si
DialogJoinTables;mergedNoMatch;title;Merged records that do not match;Registres fusionats que no coincideixen;Registros fusionados que no coinciden;s
clarification;s3MetadataCompleted;text;Metadata retrieval from the S3 Bucket completed.;S'ha completat la recuperaci¢ de les metadades del contenidor S3.;Se ha completado la recuperaci¢n de los metadatos del contenedor S3.;si
DialogQualityPositionalQuality;meters;option;Meters;Metres;Metros;s
DialogDGGSCodesBbox;minLat;label;Minimum latitude:;Latitud m°nima:;Latitud m°nima:;s
DialogDGGSCodesBbox;minLon;label;Minimum longitude:;Longitud m°nima:;Longitud m°nima:;s
DialogAddColumnBBox;minX;label;Minimum X or Longitude:;X o longitud m°nima:;X o longitud m°nima:;s
DialogAddColumnBBox;minY;label;Minimum Y or Latitude:;Y o latitud m°nima:;Y o latitud m°nima:;s
DialogFilterRowsByTime;minute;option;Minute;Minut;Minuto;s
DialogUncertainty;minutes;label;Minutes;Minuts;Minutos;s
DialogQualityTemporalQuality;minutes;label;Minutes;Minuts;Minutos;s
clarification;mapBrowserClosed;text;MiraMon Map Browser has been closed.;S'ha tancat el navegador de mapes de MiraMon.;Se ha cerrado el navegador de mapas de MiraMon.;s
clarification;mapBrowserReady;text;MiraMon Map Browser is open and ready to show layers.;El navegador de mapes de MiraMon estÖ obert i preparat per mostrar les capes.;El navegador de mapas de MiraMon est† abierto y preparado para mostrar las capas.;s
dataQuality;misclassificationMatrix;description;Misclassification Matrix;Matriu de confusi¢;Matriz de confusi¢n;si
DialogQualityMisclassificationMatrix;title;title;Misclassification matrix;Matriu de confussi¢;Matriz de confusi¢n;s
DialogQualityThematicQuality;modeNonNumeric;label;Mode of non-numeric column (Most frequent value and its frequency);Moda de la columna no numärica (valor mÇs freqÅent i la seva freqÅäncia);Moda de la columna no numÇrica (valor m†s frecuente y su frecuencia);s
DialogFilterRowsByTime;month;option;Month;Mes;Mes;s
DialogUncertainty;months;label;Months;Mesos;Meses;s
DialogQualityTemporalQuality;months;label;Months;Mesos;Meses;s
clarification;multiDatastreamUpdated;text;MultiDatastream {0} updated.;MultiDatastream {0} s'ha actualitzat.;MultiDatastream {0} actualizado.;s
alert;multiObservationDataTypeRequired;text;multiObservationDataType parameter is required, please fill in the box before send;El parÖmetre multiObservationDataType Çs obligatori, ompliu la casella abans d'enviar;El par†metro multiObservationDataType es obligatorio, rellene la casilla antes de enviar;si
DialogTransposeTable;attrColumnName;label;Name of the attribute column:;Nom de la columna del atributs:;Nombre de la columna de los atributos:;s
alert;nameRequired;text;Name parameter is required, please fill in the box before send;El parÖmetre name Çs obligatori, ompliu la casella abans d'enviar;El par†metro name es obligatorio, rellene la casilla antes de enviar;si
DialogImportCSV;newBasedOnCsvw;label;New based on CSVW;Nou basat en CSVW;Nuevo basado en CSVW;s
DialogAddColumnPnt;newColumnNames;title;New column name(s);Nom(s) de la nova columna;Nombre(s) de la nueva columna;s
DialogAddColumnBBox;newColumnNames;title;New column name(s);Nom(s) de la nova columna;Nombre(s) de la nueva columna;s
clarification;newColumnsAdded;text;New columns have been added;S'han afegit columnes noves;Se han a§adido columnas nuevas;s
clarification;newRecordWaitingUpdates;text;New record added to table. Waiting for updates ...;S'ha afegit un registre nou a la taula. Esperant actualitzacions ...;Se ha a§adido un nuevo registro a la tabla. Esperando actualizaciones ...;s
DialogTableToolApiWarn;noUseOnlyIf;button;No (use only if the API is not supporting the required filter);No (feu-ho servir nomÇs si l'API no admet el filtre requerit);No (usar s¢lo si la API no admite el filtro requerido);s
clarification;noDataInParent;text;No data loaded in the parent node.;No s'han carregat dades al node pare.;No se han cargado datos en el nodo padre.;s
clarification;noDataToOperate;text;No data to operate on.;No hi ha dades amb quä operar.;No hay datos con los que operar.;s
DialogJoinTables;noData;text;No data to show.;No hi ha dades per mostrar.;No hay datos que mostrar.;s
DialogRadarPlot;noData;text;No data to show.;No hi ha dades per mostrar.;No hay datos que mostrar.;s
DialogOneValue;noData;text;No data to show.;No hi ha dades per mostrar.;No hay datos que mostrar.;s
chrome;noDataToShow;text;No data to show.;No hi ha dades per mostrar.;No hay datos que mostrar.;s
DialogImportCSV;noFileSelected;text;No file selected;No s'ha seleccionat cap fitxer;No se ha seleccionado ning£n archivo;s
alert;noOptionSelected;text;No option selected. Nothing to do.;No s'ha seleccionat cap opci¢. No hi ha res a fer.;No se ha seleccionado ninguna opci¢n. No hay nada que hacer.;si
alert;noSeriesFromColumns;text;No series could be created from the selected columns.;No s'ha pogut crear cap särie a partir de les columnes seleccionades.;No se ha podido crear ninguna serie a partir de las columnas seleccionadas.;si
DialogQualityLogicalConsistency;nodeName;text;Node name:;Nom del node:;Nombre del nodo:;s
DialogContextMenu;nodeOperations;title;Node operations;Operacions de node;Operaciones de nodo;s
DialogMultiCreateSTAINaturalist;inatNodeLegend;title;Node with INaturalist observations;Node amb Observations d'iNaturalist;Nodo con Observations de iNaturalist;s
DialogImportCSV;none;label;None;Cap;Ninguno;s
DialogRadarPlot;normalize;label;Normalize values (0-100);Normalitza els valors (0-100);Normalizar los valores (0-100);s
DialogColumnsCalculator;not;button;not;no;no;s
alert;parentsDifferentRootUrl;text;Not all parent nodes are from the same root URL: {0}, {1};No tots els nodes pare provenen de la mateixa URL arrel: {0}, {1};No todos los nodos padre proceden de la misma URL ra°z: {0}, {1};si
DialogSelectNRecords;numberRecords;label;Number records to request:;Nombre de registres a demanar:;N£mero de registros a solicitar:;s
DialogSelectRangeSTA;request;label;Number records to request:;Nombre de registres a demanar:;N£mero de registros a solicitar:;s
DialogSelectRangeSTA;skip;label;Number records to skip from the start:;Nombre de registres a saltar des del comenáament:;N£mero de registros a saltar desde el principio:;s
DialogQualityTemporalQuality;number;text;Number:;Xifra:;N£mero:;s
DialogRadarPlot;numericColumns;label;Numeric columns (radar axes):;Columnes numäriques (eixos del radar):;Columnas numÇricas (ejes del radar):;s
clarification;observationAvailableUnderDs;text;Observation {0} available in STA under Datastream {1};Observation {0} disponible a STA sota el Datastream {1};Observation {0} disponible en STA bajo el Datastream {1};s
DialogOneValue;observationTime;label;Observation time:;Observation time:;Observation time:;s
STASpecialQueries;ObsLayer;description;Observations Layer;Capa d'Observations;Capa de Observations;si
DialogMultiCreateSTAINaturalist;obsLegend;title;Observations to create in STA Plus Service;Observations que s'han de crear al servei STAplus;Observations que se deben crear en el servicio STAplus;s
alert;observationTypeRequired;text;ObservationType parameter is required, please fill in the box before send;El parÖmetre observationType Çs obligatori, ompliu la casella abans d'enviar;El par†metro observationType es obligatorio, rellene la casilla antes de enviar;si
TableOperations;FilterRowsTable;help;Obtain a table with the records that match the contitions. Not recommended for SensorThings API or a STAplus entities as it removes the STA URL.;S'obtÇ una taula amb els registres que compleixen les condicions seleccionades. No Çs recomanable per a entitats de SensorThings API o STAplus, ja que elimina l'URL STA.;Obtiene una tabla con los registros que cumplen las condiciones seleccionadas. No se recomienda para entidades de SensorThings API o STAplus, ya que elimina la URL STA.;si
TableOperations;SelectColumnsTable;help;Obtains a table only with the selected columns. Not recommended for SensorThings API or a STAplus entities as it removes the STA URL.;S'obtÇ una taula nomÇs amb les columnes seleccionades. No Çs recomanable per a entitats de SensorThings API o STAplus, ja que elimina l'URL STA.;Se obtiene una tabla solo con las columnas seleccionadas. No se recomienda para entidades de SensorThings API o STAplus, ya que elimina la URL STA.;si
TableOperations;SelectRowTable;help;Obtains a table only with the selected record. Not recommended for SensorThings API or a STAplus entities as it removes the STA URL.;S'obtÇ una taula nomÇs amb el registre seleccionat. No Çs recomanable per a entitats de SensorThings API o STAplus, ja que elimina l'URL STA.;Se obtiene una tabla solo con el registro seleccionado. No se recomienda para entidades de SensorThings API o STAplus, ya que elimina la URL STA.;si
DialogSTAURL;titleOgcApiItems;title;OGC API collection to extract items;Col˙lecci¢ OGC API de la qual extreure elements;Colecci¢n OGC API de la que extraer elementos;s
DialogSTAURL;titleOgcApiLanding;title;OGC API landing page;PÖgina d'inici d'OGC API;P†gina de inicio de OGC API;s
chrome;ok;button;OK;Acceptar;Aceptar;s
chrome;okLower;button;Ok;Acceptar;Aceptar;s
DialogCompleteness;omission;title;Omission;Omissi¢;Omisi¢n;s
alert;csvIsoDateAmbiguity;text;One of the attributes contains data that looks like a date. The CSV import process cannot distinguish whether this value is a valid date or another type of data (for example, a time interval), which causes an error. The affected values have been loaded as null. To preserve and visualize this information, reload the CSV file with the Import numbers as strings option enabled. Then, use the meaning functionality to convert the data to the appropriate type;Un dels atributs contÇ dades que semblen una data. El procÇs d'importaci¢ de CSV no pot distingir si aquest valor Çs una data vÖlida o un altre tipus de dada (per exemple, un interval de temps), cosa que provoca un error. Els valors afectats s'han carregat com a nuls. Per conservar i visualitzar aquesta informaci¢, torneu a carregar el fitxer CSV amb l'opci¢ Importa els n£meros com a cadenes activada. DesprÇs, useu la funcionalitat de significat per convertir les dades al tipus adequat;Uno de los atributos contiene datos que parecen una fecha. El proceso de importaci¢n de CSV no puede distinguir si este valor es una fecha v†lida u otro tipo de dato (por ejemplo, un intervalo de tiempo), lo que provoca un error. Los valores afectados se han cargado como nulos. Para conservar y visualizar esta informaci¢n, vuelva a cargar el archivo CSV con la opci¢n Importar los n£meros como cadenas activada. DespuÇs, use la funcionalidad de significado para convertir los datos al tipo adecuado;si
alert;parentSameEntity;text;One parent node is the same as the entity {0}. This is for update or delete the entity. In this case, only one parent node is allowed.;Un node pare Çs la mateixa entitat {0}. Aixï serveix per actualitzar o suprimir l'entitat. En aquest cas, nomÇs es permet un node pare.;Un nodo padre es la misma entidad {0}. Esto sirve para actualizar o eliminar la entidad. En este caso, solo se permite un nodo padre.;si
alert;parentSameEntityMultiDs;text;One parent node is the same as the entity MultiDatastream. This is for update or delete the entity. In this case, only one parent node is allowed.;Un node pare Çs la mateixa entitat MultiDatastream. Aixï serveix per actualitzar o suprimir l'entitat. En aquest cas, nomÇs es permet un node pare.;Un nodo padre es la misma entidad MultiDatastream. Esto sirve para actualizar o eliminar la entidad. En este caso, solo se permite un nodo padre.;si
STAOperations;OneValueSTA;description;One Value;Un valor;Un valor;si
alert;onlyTwoParentsAllowed;text;Only 2 parents are allowed;NomÇs es permeten 2 nodes pare;Solo se permiten 2 nodos padre;si
chrome;open;button;Open;Obre;Abrir;s
DialogLink;openAsJson;label;Open as JSON in a separate window;Obre com a JSON en una finestra a part ;Abrir como JSON en una ventana separada;s
DialogImportCSV;openCsv;button;Open CSV;Obre el CSV;Abrir CSV;s
DialogSaveLayer;openMapBrowser;title;Open in the Map Browser;Obre al navegador de mapes;Abrir en el navegador de mapas;s
tableStatisticsVisualize;OpenMap;description;Open Map;Obre a un mapa;Abrir en un mapa;si
clarification;openingWallet;text;Opening wallet...;S'estÖ obrint la cartera...;Abriendo la cartera...;s
tableStatisticsVisualize;OpenMap;help;Opens a table as a map in a map browser interface. It requires two columns with a latitude and longitude values.;Obre una taula com un mapa en una interf°cie d'un navegador de mapes. Requereix dues columnes amb valors de latitud i longitud.;Abre una tabla como un mapa en una interfaz de un navegador de mapas. Requiere dos columnas con valores de latitud y longitud.;si
DialogGeospatialFilterRowsByDistance;operator;label;Operator;Operador;Operador;s
DialogColumnsCalculator;operatorsLegend;title;Operators and functions for the formula:;Operadors i funcions per a la f¢rmula:;Operadores y funciones para la f¢rmula:;s
dataQuality;completness;help;"Optional checks (numbers only, no pass/fail). Omission: empty or missing values in a column (optional Omission Flag). Commission (duplicates): duplicated records in a column (optional treat uppercase and lowercase as identical; optional Duplicate Flag). Commission excess: extra records beyond an expected record count.";"Comprovacions opcionals (nomÇs xifres, sense aprovat/suspens). Omissi¢: valors buits o absents en una columna (indicador d'omissi¢ opcional). Comissi¢ (duplicats): registres duplicats en una columna (opcionalment, tracta les maj£scules i les min£scules com a idäntiques; indicador de duplicat opcional). ExcÇs de comissi¢: registres addicionals mÇs enllÖ del recompte de registres esperat.";"Comprobaciones opcionales (solo cifras, sin aprobado/suspenso). Omisi¢n: valores vac°os o ausentes en una columna (indicador de omisi¢n opcional). Comisi¢n (duplicados): registros duplicados en una columna (opcionalmente, trata las may£sculas y las min£sculas como idÇnticas; indicador de duplicado opcional). Exceso de comisi¢n: registros adicionales m†s all† del recuento de registros esperado.";si
DialogRadarPlot;options;title;Options:;Opcions:;Opciones:;s
DialogColumnsCalculator;or;button;or;o;o;s
DialogAddColumnPnt;output;title;Output;Sortida;Salida;s
DialogAddColumnBBox;output;title;Output;Sortida;Salida;s
DialogDGGSCodesBbox;parentLevels;label;Parent levels;Nivells pare;Niveles padre;s
alert;parentNotEntityOrRelated;text;Parent node ({0}) is not a/an {1} or is directly related to a/an {1};El node pare ({0}) no Çs un {1} ni estÖ directament relacionat amb un {1};El nodo padre ({0}) no es un {1} ni est† directamente relacionado con un {1};si
alert;parentNotMultiDatastream;text;Parent node ({0}) is not a/an MultiDatastream or is directly related to a/an MultiDatastream;El node pare ({0}) no Çs un MultiDatastream ni estÖ directament relacionat amb un MultiDatastream;El nodo padre ({0}) no es un MultiDatastream ni est† directamente relacionado con un MultiDatastream;si
alert;parentNotDirectlyRelated;text;Parent node ({0}) is not directly related to a/an {1};El node pare ({0}) no estÖ relacionat directament amb un/a {1};El nodo padre ({0}) no est† relacionado directamente con un/a {1};si
alert;parentQuotedMoreThanOne;text;Parent node '{0}' has more than a single record. Please select a record first.;El node pare Æ{0}Ø tÇ mÇs d'un registre. Seleccioneu primer un registre.;El nodo padre Æ{0}Ø tiene m†s de un registro. Seleccione primero un registro.;si
alert;parentMoreThanOneRecord;text;Parent node has more than a single record. Please select a record first.;El node pare tÇ mÇs d'un registre. Seleccioneu primer un registre.;El nodo padre tiene m†s de un registro. Seleccione primero un registro.;si
alert;parentMoreThanOneRowIgnored;text;Parent node has more than one row. Please select on row first. It will be ignored.;El node pare tÇ mÇs d'una fila. Seleccioneu primer una fila. S'ignorarÖ.;El nodo padre tiene m†s de una fila. Seleccione primero una fila. Se ignorar†.;si
alert;parentNoDataLoadedIgnored;text;Parent node has no data loaded. It will be ignored.;El node pare no tÇ dades carregades. S'ignorarÖ.;El nodo padre no tiene datos cargados. Se ignorar†.;si
alert;parentNoDataUrlIgnored;text;Parent node has no dataURL column. It will be ignored.;El node pare no tÇ cap columna dataURL. S'ignorarÖ.;El nodo padre no tiene ninguna columna dataURL. Se ignorar†.;si
alert;parentNoDataUrlOrHrefIgnored;text;Parent node has no 'dataURL' or 'href' column. It will be ignored.;El node pare no tÇ cap columna ÆdataURLØ ni ÆhrefØ. S'ignorarÖ.;El nodo padre no tiene ninguna columna ÆdataURLØ ni ÆhrefØ. Se ignorar†.;si
alert;parentNoStaData;text;Parent node has no STA data associated;El node pare no tÇ dades STA associades;El nodo padre no tiene datos STA asociados;si
alert;parentOutOfRange;text;Parent node is out of range;El node pare Çs fora de l'interval;El nodo padre est† fuera del intervalo;si
alert;parentMustHaveDataAnalyze;text;Parent node must have data to analyze;El node pare ha de tenir dades per analitzar-les;El nodo padre debe tener datos para analizarlos;si
alert;parentMustHaveDataEdit;text;Parent node must have data to edite it;El node pare ha de tenir dades per editar-les;El nodo padre debe tener datos para editarlos;si
alert;parentMustHaveDataReplace;text;Parent node must have data to replace it;El node pare ha de tenir dades per substituir-les;El nodo padre debe tener datos para reemplazarlos;si
alert;parentMustHaveDataTranspose;text;Parent node must have data to transpose;El node pare ha de tenir dades per transposar-les;El nodo padre debe tener datos para transponerlos;si
alert;parentNodesNoData;text;Parent nodes do not contain data;Els nodes pare no contenen dades;Los nodos padre no contienen datos;si
alert;parentsNeededStaRoot;text;Parent(s) node(s) are needed to know about the STA root url;Calen node(s) pare per conäixer l'URL arrel de l'STA;Se necesitan nodo(s) padre para conocer la URL ra°z del STA;si
alert;parentsNeededMergeExpands;text;Parent(s) node(s) are needed to merge expands;Calen nodes pare per fusionar les expansions;Se necesitan nodos padre para fusionar las expansiones;si
